questions,answers
[SPinjam] Bagaimana cara mengubah data diri SPinjam?,"[SPinjam] Bagaimana cara mengubah data diri SPinjam?Setelah berhasil melakukan aktivasi, Anda dapat melakukan perubahan informasi data diri akun SPinjam  melalui aplikasi Shopee, ShopeePay, dan SPinjam.Berikut langkah untuk mengubah informasi data diri:Pada halaman utama SPinjam > pilih pengaturan akun > pilih Profil Saya.Pilih Informasi Pribadi.Pilih Informasi Pribadi yang ingin diubah > pilih Perbarui Informasi.Pilih metode kode verifikasi OTP > masukkan kode OTP.Pilih Konfirmasi > apabila berhasil, akan muncul pop up notifikasi bahwa perubahan data telah berhasil diperbaharui. Data yang diubah akan langsung terupdate (real time).⚠️CatatanInformasi Tempat Lahir TIDAK dapat dilakukan perubahan.Perubahan data hanya dapat diperbarui setiap 14 hari sekali.Apakah artikel ini berguna?YaTidak"
[SPayLater - Lainnya] Apa itu Misi SPL?,"[SPayLater - Lainnya] Apa itu Misi SPL? Misi SPL adalah aktivitas yang dapat diikuti Pengguna SPayLater terpilih untuk menyelesaikan berbagai misi dan berkesempatan mendapatkan hadiah menarik. Untuk menyelesaikan misi, pilih Misi SPL pada halaman SPayLater > pilih Mulai pada misi yang ingin diikuti > pilih Beli dan selesaikan misi. Jika misi berhasil diselesaikan, pilih Klaim untuk mendapatkan hadiah.⚠️CatatanSetiap misi memiliki kuota jumlah Pengguna yang dapat mengikuti misi, tenggat waktu penyelesaian, dan tenggat waktu klaim hadiah. Misi hanya akan dimulai jika tombol Mulai dipilih terlebih dahulu. Jika Anda tidak memilih tombol Mulai, maka misi tidak akan dimulai.Misi yang sudah melewati tenggat waktu akan berpindah ke menu Riwayat dan berubah statusnya menjadi Kedaluwarsa.Status misi akan diperbarui di 1 (satu) hari berikutnya sejak misi dijalankan.Apakah artikel ini berguna?YaTidak"
[FAQ] SPayLater,[FAQ] SPayLaterBerikut beberapa pertanyaan umum mengenai SPayLater di Shopee: Informasi UmumRingkasan Informasi Produk dan Layanan (RIPLAY) SPayLater Limit dan Aktivasi[SPayLater - Limit & Aktivasi] Bagaimana cara mengaktifkan SPayLater?[SPayLater] Bagaimana cara upgrade SPayLater untuk dapat limit lebih tinggi?[SPayLater - Limit dan Aktivasi] Mengapa pengajuan aktivasi SPayLater saya ditolak?[SPayLater - Limit & Aktivasi] Apakah saya bisa mengubah periode tagihan dan tanggal jatuh tempo SPayLater saya?[SPayLater - Limit dan Aktivasi] Bagaimana jika KTP saya sudah digunakan orang lain?[SPayLater - Limit & Aktivasi] Apa itu SPayLater?[SPayLater - Limit & Aktivasi] Mengapa limit SPayLater saya disesuaikan? Pembayaran[SPayLater - Pembayaran] Mengapa saya tidak bisa menggunakan SPayLater?[SPayLater - Pembayaran] Bagaimana prosedur pembayaran menggunakan SPayLater?[SPayLater - Pembayaran] Bagaimana cara membayar pesanan dengan SPayLater?[SPayLater - Tagihan dan Pembayaran] Di mana saya dapat melihat riwayat transaksi SPayLater? Biaya[SPayLater - Biaya] Apa yang terjadi jika saya terlambat melakukan pembayaran tagihan SPayLater? Tagihan dan Pembayaran[SPayLater - Tagihan & Pembayaran] Bagaimana cara membayar tagihan SPayLater?[SPayLater - Tagihan & Pembayaran] Kapan saya harus membayar tagihan SPayLater?[SPayLater - Tagihan & Pembayaran] Bagaimana cara melihat tagihan SPayLater saya? Lainnya[SPayLater - Lainnya] Bagaimana cara menghubungi Customer Service SPayLater?[SPayLater - Lainnya] Mengapa saya masih memiliki tagihan di SLIK (Sistem Layanan Informasi Keuangan) setelah melakukan pembayaran atau refund?[SPayLater - Lainnya] Apakah SPayLater Aman?[SPayLater - Lainnya] Mengapa saya menerima tagihan dari PT Commerce Finance di SLIK (Sistem Layanan Informasi Keuangan)?Apakah artikel ini berguna?YaTidak
[SPinjam] Bagaimana Cara Menggunakan Voucher SPinjam?,[SPinjam] Bagaimana Cara Menggunakan Voucher SPinjam?Saat ini Anda dapat menggunakan Voucher SPinjam yang tersedia melalui Aplikasi Shopee atau Aplikasi ShopeePay.Melalui Aplikasi ShopeePilih Saya > Pilih  SPinjam > Pilih Ajukan > Masukkan nominal pinjaman > Masukkan durasi pinjaman > Pilih data rekening bank > Pilih Voucher > Pilih voucher yang tersedia > Pilih Tanda Tangan Perjanjian dan Kirim.Melalui Aplikasi ShopeePayPilih SPinjam pada halaman utama ShopeePay > Pilih Ajukan > Masukkan nominal pinjaman > Masukkan durasi pinjaman > Pilih data rekening bank > Pilih Voucher > Pilih Voucher yang tersedia > Pilih Tanda Tangan Perjanjian dan Kirim.Apakah artikel ini berguna?YaTidak
[FAQ] Tentang Pesanan dan Pembatalan,"[FAQ] Tentang Pesanan dan PembatalanBerikut adalah beberapa pertanyaan umum tentang pesanan dan pembatalan:Pesanan﻿[Baru di Shopee] Bagaimana cara membeli beberapa produk dari Penjual yang berbeda dalam pesanan yang sama?[Pembayaran] Apa yang terjadi jika saya tidak membayar setelah batas waktu pembayarannya berakhir?[E-Voucher] Apa yang harus dilakukan jika E-Voucher Shopee saya tidak berlaku atau sudah ditukarkan?[Produk Digital] Bagaimana cara mengecek status pesanan Produk Digital?Pelacakan Pesanan[Pelacakan Pesanan] Apa yang harus saya lakukan jika pick up pesanan dari Penjual tidak berhasil?[Pelacakan Pesanan] Bagaimana cara melacak pesanan yang dikirim dari luar negeri?[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan saya?[Pelacakan Pesanan] Bagaimana jika pesanan tidak diterima lebih dari estimasi tanggal pengiriman?[Pelacakan Pesanan] Di mana saya melihat status pesanan?[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?Pembatalan Pesanan[Pembatalan Pesanan] Apa yang terjadi jika pesanan saya dibatalkan oleh Penjual?[Pembatalan Pesanan] Apakah saya dapat membatalkan pesanan saya?[Pembatalan Pesanan] Bagaimana proses pengembalian dana untuk pesanan yang dibatalkan?[Pembatalan Pesanan] Mengapa pesanan dibatalkan otomatis oleh Shopee?Perlindungan Pesanan[Perlindungan Pesanan] Apa itu Garansi Shopee?[Perlindungan Pesanan] Apakah Shopee menyediakan asuransi untuk pesanan saya?Tanda Terima Pesanan[Tanda Terima Pesanan] Apa itu Faktur/Nota Pesanan?[Tanda Terima Pesanan] Bagaimana cara mengecek bukti pesanan yang sudah diterima?[Tanda Terima Pesanan] Bagaimana cara mendapatkan faktur untuk pesanan saya?
Apakah artikel ini berguna?YaTidak"
[Pengiriman Dari Luar Negeri] Bagaimana pengiriman pesanan saya dari luar negeri setelah sampai di Indonesia?,"[Pengiriman Dari Luar Negeri] Bagaimana pengiriman pesanan saya dari luar negeri setelah sampai di Indonesia?Setelah paket Anda sampai di Indonesia, paket akan dikirim oleh jasa kirim yang bekerja sama dengan Shopee.Jika Anda memilih jasa kirim Premium Express, maka pengiriman akan dilanjutkan melalui jasa kirim Shopee Xpress. Lalu, jika Anda memilih jasa kirim Standar Xpress, maka pengiriman akan dilanjutkan melalui jasa kirim JNE/J&T/Shopee Xpress.Anda akan mendapatkan nomor resi melalui Aplikasi Shopee dan dapat dilacak melalui situs jasa kirim terkait.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?"
[Pengiriman] Mengapa pesanan saya dikembalikan ke Penjual?,"[Pengiriman] Mengapa pesanan saya dikembalikan ke Penjual?Pesanan Anda dapat dikembalikan ke Penjual karena beberapa kemungkinan berikut:Alamat salah, tidak lengkap, atau di luar jangkauan Jasa Kirim. Pastikan Anda mendaftarkan alamat yang sesuai.Penerima tidak dapat ditemukan.Paket rusak dalam pengiriman.Pengiriman ulang telah mencapai batas yang ditetapkan oleh Jasa Kirim.Pesanan ditolak oleh Penerima di tempat.Produk yang dikirim termasuk dalam produk yang dilarang/dibatasi.Kendala terkait bea cukai (untuk pengiriman dari luar negeri).⚠️CatatanJika pesanan Anda sudah dikembalikan ke Penjual, Anda tidak dapat mengajukan permintaan pengiriman ulang ke alamat Anda.Untuk pesanan non COD (Bayar di Tempat), Anda akan menerima pengembalian dana setelah pesanan berhasil dikembalikan ke Penjual. Pelajari lebih lanjut mengenai waktu proses pengembalian dana.Untuk pesanan COD (Bayar di Tempat), Anda dapat menunggu pesanan dibatalkan terlebih dahulu di aplikasi Shopee sebelum memesan produk kembali untuk menghindari beberapa pesanan (multiple orders) dengan produk yang sama.Untuk mengetahui status pengiriman pesanan, Anda dapat melacak status pengiriman pesanan di aplikasi Shopee atau menghubungi Jasa Kirim yang didukung Shopee.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Bagaimana cara menghubungi jasa kirim yang didukung Shopee untuk melacak pesanan?[Pengembalian Dana] Berapa lama proses pengembalian dana di Shopee?"
[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?,"[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?Apabila no. resi pengiriman Anda tidak dapat dilacak, hal itu mungkin saja terjadi karena alasan berikut:Pihak jasa kirim atau Penjual memberikan no. resi yang salah.No. resi pengiriman belum diperbarui pada situs jasa kirim sehingga status pesanan belum ter-update pada sistem Shopee.Terjadi gangguan sistem pada situs jasa kirim terkait.Penjual mengirimkan pesanan dengan no. resi yang berbeda dari yang tertera di sistem Shopee.Penjual menggunakan layanan Jasa Kirim Toko untuk produk Non Fisik.No. resi pada pesanan yang menggunakan jasa kirim Standar Ekspres dan Premium Ekspres untuk pesanan luar negeri. Pelajari juga cara melacak pesanan dari luar negeri.
⚠️️Catatan﻿Anda dapat menghubungi Penjual melalui fitur Chat Penjual di aplikasi Shopee untuk melacak status pengiriman pesanan atau meminta no. resi pengiriman yang benar.﻿Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Di mana saya melihat status pesanan?"
[Ongkos Kirim] Apa itu ongkos kirim dan bagaimana cara memeriksa ongkos kirim untuk pesanan saya?,"[Ongkos Kirim] Apa itu ongkos kirim dan bagaimana cara memeriksa ongkos kirim untuk pesanan saya?Ongkos kirim (Ongkir) adalah biaya yang dikeluarkan oleh Penjual saat mengirimkan paket kepada Pembeli. Karena Penjual akan menyiapkan dan mengirimkan paketnya sendiri, jika Anda membeli dari Penjual yang berbeda maka Anda harus membayar biaya pengiriman berbeda yang dikenakan oleh setiap Penjual.Contoh: Jika Anda membeli produk X dari Penjual A (biaya pengiriman Rp12.000) dan produk Y dari Penjual B (biaya pengiriman Rp20.000), maka total biaya pengiriman pesanan akan menjadi Rp32.000.Anda dapat memeriksa perkiraan biaya pengiriman untuk produk yang akan dipesan melalui halaman Rincian Produk atau saat melakukan Checkout.Pada halaman Rincian ProdukPilih bagian Informasi Ongkir untuk melihat perkiraan biaya pengiriman dan jangka waktu pengiriman untuk beserta pilihan jasa kirim yang ditawarkan.Pada halaman Checkout
Biaya pengiriman akan ditampilkan pada bagian Opsi Pengiriman, sesuai jasa kirim yang Anda pilih. Total biaya pengiriman pesanan akan ditampilkan pada bagian Total Pembayaran.⚠️CatatanJika Anda membeli beberapa produk dari Penjual yang sama dalam 1 (satu) pesanan, Anda hanya akan dikenakan biaya pengiriman 1 (satu) kali.Apakah artikel ini berguna?YaTidakArtikel Terkait[Ongkos Kirim] Apakah ongkos kirim yang saya bayar akan dikembalikan jika pesanan saya dikembalikan?"
[Pesanan] Apa yang harus saya lakukan jika saya menerima paket yang tidak saya pesan?,"[Pesanan] Apa yang harus saya lakukan jika saya menerima paket yang tidak saya pesan?Jika Anda menerima pesanan yang tidak Anda pesan, silakan ikuti langkah-langkah berikut: Anda dapat memeriksa pada halaman riwayat pesanan dengan pilih Saya > pilih Lihat Riwayat Pesanan pada aplikasi Shopee, untuk memastikan apakah Penjual mengirimkan pesanan yang salah dan pastikan Anda tidak melakukan pemesanan pada akun Shopee Anda. Namun, apabila Anda telah membuat pesanan di akun Shopee tanpa sepengetahuan Anda, mungkin akun Anda telah di retas.Periksa kembali apakah anggota keluarga / teman Anda telah mengirimkannya sebagai hadiah, atau memesan barang tersebut atas nama Anda.Jika tidak ada satu pun dari hal di atas:Untuk paket dari jasa kirim selain SPX Express: Hubungi jasa kirim untuk memastikan apakah ada kesalahan pengiriman yang dilakukan kurir.Untuk paket dari jasa kirim SPX Express: Hubungi Customer Service Shopee untuk bantuan lebih lanjut.Untuk pesanan COD (Bayar di Tempat) apabila Anda belum melakukan pembayaran ke kurir, Anda bisa menolak pesanan tersebut saat kurir datang mengantar.Untuk pesanan COD (Bayar di Tempat) apabila Anda sudah melakukan pembayaran ke kurir, silakan menghubungi Customer Service Shopee untuk bantuan lebih lanjut.Jika Anda mencurigai bahwa paket tersebut berisi barang ilegal, Anda dapat melaporkannya kepada pihak berwajib/polisi sesegera mungkin. Anda berhak untuk membuang barang tersebut dan tidak perlu mengembalikan paket ke Shopee atau penjual jika disarankan oleh pihak berwajib/polisi. Untuk melindungi diri Anda lebih lanjut setelah menerima paket yang tidak Anda pesan, silakan ikuti langkah berikut:Ubah password akun Shopee Anda sebagai tindakan pencegahan.Pantau atau periksa kembali tagihan kartu kredit, laporan rekening bank, akun Shopee, dan akun ShopeePay Anda untuk setiap transaksi yang tidak sah.Jangan pernah membayar paket yang tidak Anda pesan.Hindari berbagi informasi pribadi seperti alamat rumah Anda dengan orang asing atau pihak yang tidak berkepentingan. Shopee mengambil sikap tegas terhadap kegiatan penipuan dan akan mengambil tindakan tegas terhadap setiap individu yang telah melanggar kebijakan Anti-Brushing. ⚠️CatatanOrder Brushing/pesanan palsu merupakan tindakan yang dibuat oleh Penjual yang membuat pesanan palsu untuk menghasilkan angka penjualan yang lebih tinggi. Paket dari pesanan palsu ini dapat dikirim ke pembeli yang tidak disadari.Apakah artikel ini berguna?YaTidakArtikel Terkait[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?[Akun Saya] Bagaimana cara mengubah password akun Shopee?"
[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?,"[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?Berikut kendala yang mungkin Anda dapatkan pada pesanan dengan pembayaran COD: Tidak merasa memesanPastikan Anda tidak membuka terlebih dahulu paket yang diberikan, lalu lakukan pengecekan di bagian Pesanan Saya pada aplikasi Shopee di setiap akun yang Anda miliki, untuk memastikan Anda tidak melakukan pemesanan produk COD.Lakukan penolakan pembayaran pada kurir jika Anda tidak melakukan pesanan atas produk tersebut. Sudah menerima pesanan dan melakukan pembayaranJika terlanjur menerima pesanan dan membayar pesanan yang tidak Anda pesan, silakan menghubungi Customer Service Shopee dengan melampirkan:Nomor pesanan.Bukti foto resi di pesanan/paket yang Anda terima.Foto produk di dalam paket jika Anda sudah membuka paket tersebut. Silakan hubungi contact center kami pada link berikut ini. Kendala akan ditindaklanjuti oleh tim Shopee dalam kurun waktu 2x24 jam dan Anda akan dihubungi melalui email. Tidak sengaja memesanJika tidak sengaja memesan produk dengan metode pembayaran COD, silakan melakukan:Pengajuan pembatalan sebelum penjual mengirimkan pesanan.Menghubungi Penjual terkait pesanan melalui fitur Chat Penjual.Tidak membuka paket dan tolak pesanan apabila Penjual tetap mengirimkan pesanan. ⚠️Catatan:Sistem pembayaran COD akan diblokir pada akun Anda jika melakukan penolakan pembayaran atau tidak ada di tempat saat kurir mengirim paket sebanyak 2 kali dalam kurun waktu 60 hari.Apakah artikel ini berguna?YaTidakArtikel Terkait[Bayar di Tempat] Bagaimana jika pengiriman pesanan COD (Bayar di Tempat) gagal dilakukan?"
[Garansi Tepat Waktu] Apa itu Garansi Tepat Waktu?,"[Garansi Tepat Waktu] Apa itu Garansi Tepat Waktu?Garansi Tepat Waktu adalah program Shopee yang memberikan jaminan waktu pengiriman untuk pesanan yang memenuhi syarat dan memiliki Opsi Pengiriman dengan keterangan “Garansi Tiba” dan “Voucher Jika Pesanan Terlambat” pada halaman Rincian Pesanan. Jika pesanan tiba melewati tanggal Garansi Tiba (waktu pengiriman yang tertera), maka Pembeli akan mendapatkan Voucher kompensasi yang dapat diklaim maks. 3 hari setelah status pesanan berubah menjadi Pesanan Selesai, baik secara otomatis oleh sistem ataupun secara manual oleh Pembeli dengan memilih tombol Pesanan Selesai pada halaman Pesanan Saya. Pelajari lebih lanjut mengenai Syarat & Ketentuan Garansi Tepat Waktu. Cara mengetahui tanggal Garansi Tiba sebelum checkout: Cek halaman deskripsi produkCek halaman checkout Cara mengetahui tanggal Garansi Tiba setelah checkout:Cek halaman rincian pesanan Cara mengetahui status Garansi Tepat Waktu setelah pesanan dikirim:Cek halaman pesanan saya Cara klaim Voucher jika pesanan melewati tanggal Garansi Tiba:Pada halaman Rincian Pesanan, pilih Klaim > setelah Voucher berhasil diklaim, pilih Pakai. Anda dapat menggunakan Voucher tersebut untuk membeli produk sesuai Syarat & Ketentuan yang berlaku.  ⚠️CatatanVoucher akan muncul dan dapat diklaim sejak pk. 03:00 WIB setelah pesanan melewati tanggal Garansi Tiba.Batas waktu klaim Voucher dari tanggal Garansi Tiba hingga status pesanan berubah menjadi Pesanan Selesai adalah 3 hari untuk produk Non-Shopee Mall dan produk Shopee Mall.Masa berlaku Voucher setelah diklaim adalah 2 hari. Voucher yang diklaim akan tersimpan di halaman Voucher Saya.Apakah artikel ini berguna?YaTidak"
[Pengiriman] Apakah saya bisa mengubah alamat pengiriman pada pesanan yang sudah dibuat?,"[Pengiriman] Apakah saya bisa mengubah alamat pengiriman pada pesanan yang sudah dibuat?Anda hanya dapat mengubah alamat pengiriman setelah Checkout jika Anda memenuhi Syarat & Ketentuan berikut:Penjual belum mengatur pengiriman paket Anda.Anda belum melakukan pembayaran atau pembayaran yang dilakukan belum berhasil.Anda belum pernah mengajukan perubahan alamat di pesanan. Anda hanya bisa mengubah alamat pengiriman satu kali saja untuk setiap pesanan.Perubahan alamat tidak mengubah biaya ongkir jadi lebih besar.Jasa kirim mampu menjangkau alamat pengiriman yang baru.Alamat pengiriman yang baru memiliki titik geo-location (khusus jasa kirim Grab dan Gojek).Tidak menggunakan jasa kirim yang sedang mengadakan promosi di lokasi pesanan tersebut. Jika Anda memenuhi semua Syarat & Ketentuan di atas, Anda bisa mengubah alamat pengiriman. Pilih Saya > pilih Dikemas > pilih pesanan yang ingin Anda ubah alamat pengirimannya > pilih Ubah pada bagian Alamat Pengiriman > plih alamat > pilih Konfirmasi.  ⚠️CatatanJika alamat yang Anda tuju belum tersimpan di sistem Shopee, silakan pilih Tambah alamat baru pada halaman Pilih Alamat.Anda tidak dapat mengubah alamat pengiriman atau tipe layanan pengiriman setelah pesanan Anda dikirim oleh Penjual. Jika Anda ingin mengubah alamat pengiriman atau tipe layanan pengiriman setelah pesanan dikirim, silakan hubungi Penjual melalui fitur Chat di aplikasi Shopee.Apakah artikel ini berguna?YaTidakArtikel Terkait[Jasa Kirim] Apa itu Jasa Kirim yang Didukung Shopee & Tidak Didukung Shopee?"
[Pelacakan Pesanan] Di mana saya melihat status pesanan?,"[Pelacakan Pesanan] Di mana saya melihat status pesanan?Anda dapat mengecek status pesanan Anda melalui Pesanan Saya pada tab Saya di aplikasi Shopee.  Semua pesanan Anda akan dikategorikan sesuai status pesanannya:Belum Bayar - semua pesanan yang belum dibayar.Dikemas - semua pesanan yang sudah dibayar namun belum dikirim oleh Penjual.Dikirim - semua pesanan yang sudah dikirim oleh Penjual.Selesai - semua pesanan yang sudah terkirim.Dibatalkan - semua pesanan yang sudah dibatalkan.Pengembalian - semua pesanan yang sudah dilakukan pengembalian barang/dana. ⚠️ CatatanPesanan yang dikirim dengan jasa kirim yang didukung Shopee akan memiliki nomor resi dan dapat dilacak dengan mudah melalui aplikasi Shopee.Jika pesanan Anda tidak memiliki nomor resi, Anda dapat menghubungi Penjual untuk mengecek status pengiriman pesanan Anda.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Bagaimana cara menghubungi jasa kirim yang didukung Shopee untuk melacak pesanan?"
[FAQ] Tentang Pesanan dan Pembatalan,"[FAQ] Tentang Pesanan dan PembatalanBerikut adalah beberapa pertanyaan umum tentang pesanan dan pembatalan:Pesanan﻿[Baru di Shopee] Bagaimana cara membeli beberapa produk dari Penjual yang berbeda dalam pesanan yang sama?[Pembayaran] Apa yang terjadi jika saya tidak membayar setelah batas waktu pembayarannya berakhir?[E-Voucher] Apa yang harus dilakukan jika E-Voucher Shopee saya tidak berlaku atau sudah ditukarkan?[Produk Digital] Bagaimana cara mengecek status pesanan Produk Digital?Pelacakan Pesanan[Pelacakan Pesanan] Apa yang harus saya lakukan jika pick up pesanan dari Penjual tidak berhasil?[Pelacakan Pesanan] Bagaimana cara melacak pesanan yang dikirim dari luar negeri?[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan saya?[Pelacakan Pesanan] Bagaimana jika pesanan tidak diterima lebih dari estimasi tanggal pengiriman?[Pelacakan Pesanan] Di mana saya melihat status pesanan?[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?Pembatalan Pesanan[Pembatalan Pesanan] Apa yang terjadi jika pesanan saya dibatalkan oleh Penjual?[Pembatalan Pesanan] Apakah saya dapat membatalkan pesanan saya?[Pembatalan Pesanan] Bagaimana proses pengembalian dana untuk pesanan yang dibatalkan?[Pembatalan Pesanan] Mengapa pesanan dibatalkan otomatis oleh Shopee?Perlindungan Pesanan[Perlindungan Pesanan] Apa itu Garansi Shopee?[Perlindungan Pesanan] Apakah Shopee menyediakan asuransi untuk pesanan saya?Tanda Terima Pesanan[Tanda Terima Pesanan] Apa itu Faktur/Nota Pesanan?[Tanda Terima Pesanan] Bagaimana cara mengecek bukti pesanan yang sudah diterima?[Tanda Terima Pesanan] Bagaimana cara mendapatkan faktur untuk pesanan saya?
Apakah artikel ini berguna?YaTidak"
[Pengiriman Dari Luar Negeri] Bagaimana pengiriman pesanan saya dari luar negeri setelah sampai di Indonesia?,"[Pengiriman Dari Luar Negeri] Bagaimana pengiriman pesanan saya dari luar negeri setelah sampai di Indonesia?Setelah paket Anda sampai di Indonesia, paket akan dikirim oleh jasa kirim yang bekerja sama dengan Shopee.Jika Anda memilih jasa kirim Premium Express, maka pengiriman akan dilanjutkan melalui jasa kirim Shopee Xpress. Lalu, jika Anda memilih jasa kirim Standar Xpress, maka pengiriman akan dilanjutkan melalui jasa kirim JNE/J&T/Shopee Xpress.Anda akan mendapatkan nomor resi melalui Aplikasi Shopee dan dapat dilacak melalui situs jasa kirim terkait.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?"
[Pengiriman] Mengapa pesanan saya dikembalikan ke Penjual?,"[Pengiriman] Mengapa pesanan saya dikembalikan ke Penjual?Pesanan Anda dapat dikembalikan ke Penjual karena beberapa kemungkinan berikut:Alamat salah, tidak lengkap, atau di luar jangkauan Jasa Kirim. Pastikan Anda mendaftarkan alamat yang sesuai.Penerima tidak dapat ditemukan.Paket rusak dalam pengiriman.Pengiriman ulang telah mencapai batas yang ditetapkan oleh Jasa Kirim.Pesanan ditolak oleh Penerima di tempat.Produk yang dikirim termasuk dalam produk yang dilarang/dibatasi.Kendala terkait bea cukai (untuk pengiriman dari luar negeri).⚠️CatatanJika pesanan Anda sudah dikembalikan ke Penjual, Anda tidak dapat mengajukan permintaan pengiriman ulang ke alamat Anda.Untuk pesanan non COD (Bayar di Tempat), Anda akan menerima pengembalian dana setelah pesanan berhasil dikembalikan ke Penjual. Pelajari lebih lanjut mengenai waktu proses pengembalian dana.Untuk pesanan COD (Bayar di Tempat), Anda dapat menunggu pesanan dibatalkan terlebih dahulu di aplikasi Shopee sebelum memesan produk kembali untuk menghindari beberapa pesanan (multiple orders) dengan produk yang sama.Untuk mengetahui status pengiriman pesanan, Anda dapat melacak status pengiriman pesanan di aplikasi Shopee atau menghubungi Jasa Kirim yang didukung Shopee.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Bagaimana cara menghubungi jasa kirim yang didukung Shopee untuk melacak pesanan?[Pengembalian Dana] Berapa lama proses pengembalian dana di Shopee?"
[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?,"[Pelacakan Pesanan] Mengapa no. resi pengiriman tidak bisa dilacak?Apabila no. resi pengiriman Anda tidak dapat dilacak, hal itu mungkin saja terjadi karena alasan berikut:Pihak jasa kirim atau Penjual memberikan no. resi yang salah.No. resi pengiriman belum diperbarui pada situs jasa kirim sehingga status pesanan belum ter-update pada sistem Shopee.Terjadi gangguan sistem pada situs jasa kirim terkait.Penjual mengirimkan pesanan dengan no. resi yang berbeda dari yang tertera di sistem Shopee.Penjual menggunakan layanan Jasa Kirim Toko untuk produk Non Fisik.No. resi pada pesanan yang menggunakan jasa kirim Standar Ekspres dan Premium Ekspres untuk pesanan luar negeri. Pelajari juga cara melacak pesanan dari luar negeri.
⚠️️Catatan﻿Anda dapat menghubungi Penjual melalui fitur Chat Penjual di aplikasi Shopee untuk melacak status pengiriman pesanan atau meminta no. resi pengiriman yang benar.﻿Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Di mana saya melihat status pesanan?"
[Ongkos Kirim] Apa itu ongkos kirim dan bagaimana cara memeriksa ongkos kirim untuk pesanan saya?,"[Ongkos Kirim] Apa itu ongkos kirim dan bagaimana cara memeriksa ongkos kirim untuk pesanan saya?Ongkos kirim (Ongkir) adalah biaya yang dikeluarkan oleh Penjual saat mengirimkan paket kepada Pembeli. Karena Penjual akan menyiapkan dan mengirimkan paketnya sendiri, jika Anda membeli dari Penjual yang berbeda maka Anda harus membayar biaya pengiriman berbeda yang dikenakan oleh setiap Penjual.Contoh: Jika Anda membeli produk X dari Penjual A (biaya pengiriman Rp12.000) dan produk Y dari Penjual B (biaya pengiriman Rp20.000), maka total biaya pengiriman pesanan akan menjadi Rp32.000.Anda dapat memeriksa perkiraan biaya pengiriman untuk produk yang akan dipesan melalui halaman Rincian Produk atau saat melakukan Checkout.Pada halaman Rincian ProdukPilih bagian Informasi Ongkir untuk melihat perkiraan biaya pengiriman dan jangka waktu pengiriman untuk beserta pilihan jasa kirim yang ditawarkan.Pada halaman Checkout
Biaya pengiriman akan ditampilkan pada bagian Opsi Pengiriman, sesuai jasa kirim yang Anda pilih. Total biaya pengiriman pesanan akan ditampilkan pada bagian Total Pembayaran.⚠️CatatanJika Anda membeli beberapa produk dari Penjual yang sama dalam 1 (satu) pesanan, Anda hanya akan dikenakan biaya pengiriman 1 (satu) kali.Apakah artikel ini berguna?YaTidakArtikel Terkait[Ongkos Kirim] Apakah ongkos kirim yang saya bayar akan dikembalikan jika pesanan saya dikembalikan?"
